year,value,anomaly,month,state,type
1974,-.36,-0.61,06,MN,drought
1975,2.18,1.93,06,MN,drought
1976,-2.16,-2.41,06,MN,drought
1977,-6.52,-6.77,06,MN,drought
1978,1.56,1.31,06,MN,drought
1979,3.44,3.19,06,MN,drought
1980,-2.8,-3.05,06,MN,drought
1981,.92,0.67,06,MN,drought
1982,1.61,1.36,06,MN,drought
1983,2.99,2.74,06,MN,drought
1984,3.12,2.87,06,MN,drought
1985,2.69,2.44,06,MN,drought
1986,3.5,3.25,06,MN,drought
1987,-2.98,-3.23,06,MN,drought
1988,-6.22,-6.47,06,MN,drought
1989,-2.9,-3.15,06,MN,drought
1990,1.09,0.84,06,MN,drought
1991,1.5,1.25,06,MN,drought
1992,1.35,1.10,06,MN,drought
1993,3.76,3.51,06,MN,drought
1994,2.65,2.40,06,MN,drought
1995,1.2,0.95,06,MN,drought
1996,2.12,1.87,06,MN,drought
1997,1.95,1.70,06,MN,drought
