year,value,anomaly,month,state,type
1966,-1.05,-1.04,05,IN,drought
1967,.47,0.48,05,IN,drought
1968,1.2,1.21,05,IN,drought
1969,-1.08,-1.07,05,IN,drought
1970,.37,0.38,05,IN,drought
1971,.11,0.12,05,IN,drought
1972,-.38,-0.37,05,IN,drought
1973,2.11,2.12,05,IN,drought
1974,2.35,2.36,05,IN,drought
1975,2.07,2.08,05,IN,drought
1976,-1.13,-1.12,05,IN,drought
1977,-2.15,-2.14,05,IN,drought
1978,1.22,1.23,05,IN,drought
1979,1.17,1.18,05,IN,drought
1980,1.46,1.47,05,IN,drought
1981,1.82,1.83,05,IN,drought
1982,1.73,1.74,05,IN,drought
1983,1.91,1.92,05,IN,drought
1984,1.55,1.56,05,IN,drought
1985,-1.07,-1.06,05,IN,drought
1986,.22,0.23,05,IN,drought
1987,-2.23,-2.22,05,IN,drought
1988,-2,-1.99,05,IN,drought
1989,1.49,1.50,05,IN,drought
1990,2.88,2.89,05,IN,drought
1991,-.62,-0.61,05,IN,drought
1992,-2.49,-2.48,05,IN,drought
1993,2.23,2.24,05,IN,drought
1994,-.74,-0.73,05,IN,drought
1995,1.49,1.50,05,IN,drought
1996,2.46,2.47,05,IN,drought
1997,3.11,3.12,05,IN,drought
1998,.89,0.90,05,IN,drought
1999,-.63,-0.62,05,IN,drought
2000,0,0.01,05,IN,drought
2001,-1.6,-1.59,05,IN,drought
2002,4.29,4.30,05,IN,drought
2003,.93,0.94,05,IN,drought
2004,1.99,2.00,05,IN,drought
2005,-1.27,-1.26,05,IN,drought
2006,.98,0.99,05,IN,drought
2007,-1.14,-1.13,05,IN,drought
2008,3.07,3.08,05,IN,drought
2009,2.4,2.41,05,IN,drought
2010,.35,0.36,05,IN,drought
2011,3.45,3.46,05,IN,drought
2012,-2.53,-2.52,05,IN,drought
2013,.99,1.00,05,IN,drought
2014,1.05,1.06,05,IN,drought
2015,1.53,1.54,05,IN,drought
1895,-3.26,-3.20,06,IN,drought
1896,.19,0.25,06,IN,drought
1897,-.03,0.03,06,IN,drought
1898,1.39,1.45,06,IN,drought
1899,-1.66,-1.60,06,IN,drought
1900,-1.87,-1.81,06,IN,drought
1901,-2.1,-2.04,06,IN,drought
1902,1.68,1.74,06,IN,drought
1903,.15,0.21,06,IN,drought
1904,-.6,-0.54,06,IN,drought
1905,.39,0.45,06,IN,drought
1906,-1.59,-1.53,06,IN,drought
1907,1.7,1.76,06,IN,drought
1908,-.78,-0.72,06,IN,drought
1909,1.97,2.03,06,IN,drought
1910,-2.23,-2.17,06,IN,drought
1911,-1.08,-1.02,06,IN,drought
1912,1.33,1.39,06,IN,drought
1913,-1.46,-1.40,06,IN,drought
1914,-3.16,-3.10,06,IN,drought
1915,.37,0.43,06,IN,drought
1916,1.39,1.45,06,IN,drought
1917,1.61,1.67,06,IN,drought
1918,-1.22,-1.16,06,IN,drought
1919,-.35,-0.29,06,IN,drought
1920,-.44,-0.38,06,IN,drought
1921,-1.91,-1.85,06,IN,drought
1922,-1.31,-1.25,06,IN,drought
1923,-.35,-0.29,06,IN,drought
1924,2.12,2.18,06,IN,drought
1925,-3,-2.94,06,IN,drought
1926,-.73,-0.67,06,IN,drought
1927,3.61,3.67,06,IN,drought
1928,2.4,2.46,06,IN,drought
1929,2.24,2.30,06,IN,drought
1930,-2.35,-2.29,06,IN,drought
1931,-5.73,-5.67,06,IN,drought
1932,-1.54,-1.48,06,IN,drought
1933,-1.45,-1.39,06,IN,drought
1934,-5.16,-5.10,06,IN,drought
1935,-1.38,-1.32,06,IN,drought
1936,-3.57,-3.51,06,IN,drought
1937,1.68,1.74,06,IN,drought
1938,2.22,2.28,06,IN,drought
1939,-.31,-0.25,06,IN,drought
1940,-2.19,-2.13,06,IN,drought
1941,-4.54,-4.48,06,IN,drought
1942,.75,0.81,06,IN,drought
1943,-.45,-0.39,06,IN,drought
1944,-2.03,-1.97,06,IN,drought
